,none,C > SMA(50),"C > SMA(50), 3d",C > EMA(120),"C > EMA(120), 3d"
2020-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2020-01-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2020-01-05 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2020-01-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2020-01-07 00:00:00+00:00,4.660326072388417,0.0,0.0,0.0,0.0
2020-01-08 00:00:00+00:00,4.660326072388417,0.0,0.0,0.0,0.0
2020-01-09 00:00:00+00:00,4.660326072388417,0.0,0.0,0.0,0.0
2020-01-10 00:00:00+00:00,4.660326072388417,0.0,0.0,0.0,0.0
2020-01-11 00:00:00+00:00,4.660326072388417,0.0,0.0,0.0,0.0
2020-01-12 00:00:00+00:00,5.018074133774606,1.0179243867480945,0.0,0.0,0.0
2020-01-13 00:00:00+00:00,6.981986642657789,1.6459182655811417,8.607233284780277,8.607233284780277,0.0
2020-01-14 00:00:00+00:00,9.190823722702623,4.316922340353684,8.607233284780277,8.607233284780277,0.0
2020-01-15 00:00:00+00:00,18.221392544106557,9.574284738443078,8.607233284780277,8.607233284780277,0.0
2020-01-16 00:00:00+00:00,18.221392544106557,9.574284738443078,8.607233284780277,8.607233284780277,0.0
2020-01-17 00:00:00+00:00,18.221392544106557,9.574284738443078,8.607233284780277,8.607233284780277,0.0
2020-01-18 00:00:00+00:00,18.309129342977705,14.221755557609894,8.670711355849475,8.670711355849475,18.13491987807607
2020-01-19 00:00:00+00:00,18.309129342977705,14.221755557609894,8.670711355849475,8.670711355849475,18.13491987807607
2020-01-20 00:00:00+00:00,18.672324829304625,14.983985288764105,8.670711355849475,8.670711355849475,18.13491987807607
2020-01-21 00:00:00+00:00,19.125468631196078,14.426339429398775,8.78099446453694,8.78099446453694,18.821637689975205
2020-01-22 00:00:00+00:00,18.937679815807762,14.290200568656115,8.131986573295602,8.131986573295602,18.821637689975205
2020-01-23 00:00:00+00:00,19.473672422439968,14.666599542142302,9.015249135824861,9.015249135824861,18.821637689975205
2020-01-24 00:00:00+00:00,19.40557802292588,14.020285576090005,9.363490002902148,9.363490002902148,16.486855722820202
2020-01-25 00:00:00+00:00,19.40557802292588,14.020285576090005,9.370925665615228,9.370925665615228,16.486855722820202
2020-01-26 00:00:00+00:00,19.40557802292588,14.020285576090005,9.370925665615228,9.370925665615228,16.486855722820202
2020-01-27 00:00:00+00:00,19.40557802292588,14.020285576090005,9.370925665615228,9.370925665615228,16.486855722820202
2020-01-28 00:00:00+00:00,19.59760571365236,17.144569569922137,9.306064533506442,9.306064533506442,18.995685307376426
2020-01-29 00:00:00+00:00,22.958443806620863,19.945009438361414,13.18927309215451,13.18927309215451,20.615813211202905
2020-01-30 00:00:00+00:00,22.958443806620863,19.945009438361414,13.18927309215451,13.18927309215451,23.059543505015238
2020-01-31 00:00:00+00:00,22.958443806620863,19.945009438361414,13.18927309215451,13.18927309215451,25.5895259322857
2020-02-01 00:00:00+00:00,22.958443806620863,19.945009438361414,13.18927309215451,13.18927309215451,25.5895259322857
2020-02-02 00:00:00+00:00,23.985306272328693,20.908029449473737,14.043236575156538,14.043236575156538,27.073864269568183
2020-02-03 00:00:00+00:00,23.985306272328693,20.908029449473737,14.043236575156538,14.043236575156538,27.073864269568183
2020-02-04 00:00:00+00:00,23.985306272328693,20.908029449473737,14.043236575156538,14.043236575156538,27.073864269568183
2020-02-05 00:00:00+00:00,24.7306769394664,21.569466947302512,14.747879593671959,14.747879593671959,28.04559548825835
2020-02-06 00:00:00+00:00,24.7306769394664,21.569466947302512,14.747879593671959,14.747879593671959,28.04559548825835
2020-02-07 00:00:00+00:00,24.7306769394664,21.569466947302512,14.747879593671959,14.747879593671959,28.04559548825835
2020-02-08 00:00:00+00:00,24.7306769394664,21.569466947302512,14.747879593671959,14.747879593671959,28.04559548825835
