start,end,initial_equity,final_equity,total_return,cagr,annualized_volatility,sharpe_zero_cash,max_drawdown,max_drawdown_days,daily_es_90,daily_es_95,daily_es_99,trades,hit_rate,mean_trade_return,median_trade_return,trade_es_95,profit_factor,total_fees,average_invested_fraction,average_reserved_fraction,orders,fills,fill_rate,forced_exits,delayed_exit_days,correction_sigma,holding_days
2024-01-01,2026-06-30,100000.0,102540.13797413222,0.025401379741322172,0.010107797019768494,0.19942007481129878,0.14969333038562804,-0.3223754312909468,487,-0.017765538368361276,-0.02572615289546624,-0.050326155519118274,1729,0.47888953152111047,0.0004111959869166749,-0.0015759142322384703,-0.12886914471535343,1.0076386454386075,37260.475472633596,0.16616245809857746,0.7080918910852717,3675,1729,0.4704761904761905,0,0,1.0,1
2024-01-01,2026-06-30,100000.0,51817.227765069096,-0.48182772234930904,-0.2317133928823255,0.3612259908789546,-0.5474422549908966,-0.7229179619857686,755,-0.03590848221571867,-0.04737060530622832,-0.07199307518440465,1383,0.44468546637744033,-0.004197561771621116,-0.007489860137883907,-0.2480012882147323,0.8967903788469529,23706.382759239517,0.37040814317380927,0.5267902738916178,2953,1383,0.46833728411784625,0,0,1.0,3
2024-01-01,2026-06-30,100000.0,51714.39205926585,-0.48285607940734154,-0.2323250714049978,0.4591288043901572,-0.3456733168319164,-0.7294414051753704,838,-0.04372615490185052,-0.05625231996795048,-0.08792004952030498,1193,0.4308466051969824,0.0006176033831642985,-0.013050303443774315,-0.31528513059495056,0.8980165230212712,16865.886355210685,0.49449168749051503,0.41165803422085706,2508,1193,0.4756778309409888,1,0,1.0,5
2024-01-01,2026-06-30,100000.0,43815.12841129236,-0.5618487158870764,-0.2816844695645033,0.5721379459609776,-0.29200313342676354,-0.8208315563833618,571,-0.052462793799867055,-0.06563875812679507,-0.10108067785814842,930,0.4043010752688172,-0.0054855751623089696,-0.025973958219221258,-0.42264121339812283,0.8979897651212003,13565.50335600488,0.6582068307287333,0.2797393458168568,1980,930,0.4696969696969697,2,0,1.0,10
