start,end,initial_equity,final_equity,total_return,cagr,annualized_volatility,sharpe_zero_cash,max_drawdown,max_drawdown_days,daily_es_90,daily_es_95,daily_es_99,trades,hit_rate,mean_trade_return,median_trade_return,trade_es_95,profit_factor,total_fees,average_invested_fraction,average_reserved_fraction,orders,fills,fill_rate,forced_exits,delayed_exit_days,correction_sigma,holding_days,oos_cagr,oos_max_drawdown,oos_total_return
2020-01-01,2026-06-30,100000.0,327188.8758789889,2.271888758789889,0.2002472687403387,0.3339407226060825,0.7174931295323723,-0.4778115409325328,1626,-0.0304864443866237,-0.0437331579140707,-0.0803165198146952,7799,0.4831388639569176,0.0026756419365464,-0.0012401698987444,-0.1477948286127343,1.0420636980432791,515699.2926662186,0.2804821688799052,0.6028949441988506,10713,7799,0.7279940259497807,0,0,0.5,1,-0.0190099058110281,-0.4597557018357365,-0.0467428977722018
2020-01-01,2026-06-30,100000.0,185977.17486546576,0.8597717486546577,0.1002527651468205,0.5401268634245558,0.4509071469937111,-0.9089091233093982,1678,-0.0521042482422224,-0.0689552835604815,-0.1183939585394067,5373,0.4595198213288665,0.004966179935069,-0.0069978116811652,-0.2454319513647855,1.0074084193066282,524496.6743520331,0.5188386291445418,0.3800426882125403,7467,5373,0.7195660907995178,0,0,0.5,3,-0.4122150578774859,-0.8170031580502406,-0.7343016778878363
2020-01-01,2026-06-30,100000.0,137238.0865189484,0.372380865189484,0.0499506684061628,0.6674626275461161,0.4148327688069822,-0.9555679360289908,1679,-0.063575206361361,-0.0846963335292478,-0.1490618944404584,4307,0.4655212444857209,0.007410810146968,-0.0076340880493104,-0.3263181901744987,1.003158727422906,374038.8435148123,0.6332284959095902,0.2762896956288665,5904,4307,0.7295054200542005,1,0,0.5,5,-0.4167329218659562,-0.8614122696223194,-0.7393661453905463
2020-01-01,2026-06-30,100000.0,314225.9989007171,2.1422599890071714,0.1927991469452799,0.7660885270268729,0.6207963468797805,-0.9436642072287358,1679,-0.0707828096127393,-0.0921398532805356,-0.1583311424670071,3057,0.4409551848217206,0.0156814723651482,-0.0191202228202795,-0.4264093718819808,1.011789527637905,391230.2157299266,0.7689635852355795,0.1626047393221802,4179,3057,0.7315147164393395,4,0,0.5,10,-0.3666501887570838,-0.8164954846119377,-0.6799166103003864
2020-01-01,2026-06-30,100000.0,366619.4432779143,2.6661944327791427,0.2214625249341693,0.2455153632774064,0.9393813531465216,-0.3502430340583605,707,-0.0203849303277457,-0.0310630860203758,-0.0659283347969219,4613,0.5124647734662909,0.0040238015655026,0.0009912465432956,-0.1430575922311896,1.101302926489996,275822.7075849146,0.1702287267696815,0.7118001814168105,9781,4613,0.4716286678253757,0,0,1.0,1,0.0101077970197684,-0.3223754312909468,0.0254013797413221
2020-01-01,2026-06-30,100000.0,632231.1912931085,5.322311912931085,0.3283791830001701,0.4598728012329945,0.8519211279155664,-0.7363486904371286,1626,-0.0417703751571711,-0.0588786105315159,-0.1125153267845796,3709,0.4874629280129415,0.0090363129286433,-0.002533503080286,-0.2515659293437954,1.0416209823972942,627349.9461675495,0.377268048434127,0.5191225017253093,7812,3709,0.4747823860727087,0,0,1.0,3,-0.2317133928823255,-0.7229179619857686,-0.481827722349309
2020-01-01,2026-06-30,100000.0,431972.35520233406,3.319723552023341,0.2527085362198484,0.5700391554204691,0.68782662213421,-0.7860777401562228,1678,-0.0533806188171376,-0.072320852799407,-0.1393044894104677,3177,0.4796978281397545,0.0140534351107975,-0.0041326618954897,-0.329585254874583,1.034853861369622,328395.5533167049,0.4975006180593772,0.4069894366709422,6665,3177,0.4766691672918229,1,0,1.0,5,-0.2323250714049978,-0.7294414051753704,-0.4828560794073415
2020-01-01,2026-06-30,100000.0,201044.7452901515,1.010447452901515,0.1135307667423433,0.7031148705632765,0.5203028852696202,-0.9064819871605216,1679,-0.0635704795959556,-0.0842827099716392,-0.1579253568935157,2453,0.4618834080717489,0.0182259591647814,-0.0134594833657946,-0.4449305600240654,1.0118971860627597,190152.6886433168,0.654837655122747,0.2740702362042539,5222,2453,0.4697433933358866,4,0,1.0,10,-0.2816844695645033,-0.8208315563833618,-0.5618487158870764
2020-01-01,2026-06-30,100000.0,774509.4652531934,6.745094652531934,0.3705531241801461,0.2114690967794486,1.5961375552624373,-0.3203773939070358,654,-0.0128584525618076,-0.0212651749940188,-0.0529891979094973,2809,0.5418298326806693,0.0090648372591211,0.0030948340242165,-0.1428101113929431,1.3080443625940328,246478.4840903917,0.1053559895158607,0.7731060493243961,9461,2809,0.2969030757848007,0,0,1.5,1,0.2220043376436353,-0.1983728932788898,0.6488277395373254
2020-01-01,2026-06-30,100000.0,1782258.3748947575,16.822583748947576,0.558222393682875,0.3892461361626566,1.3372767423655336,-0.5231673929053751,776,-0.0321309181643077,-0.0474515000226992,-0.0942738053661417,2437,0.5260566270004103,0.018006019917132,0.0055927940724665,-0.2452682385042923,1.1494507666365577,593336.2364997093,0.260246593723019,0.6283931155502603,8196,2437,0.2973401659346022,0,0,1.5,3,0.0971043384753964,-0.4127759136598307,0.2600438860053755
