symbol,signal_date,entry_date,target_exit_date,entry_price,quantity,entry_cost,entry_fee,reserved,momentum,sigma,correction_sigma,volume_rank,entry_time,target_exit_time,exit_date,exit_price,exit_fee,funding_cost,pnl,return_on_reserved,holding_days_actual,holding_hours_actual,exit_reason,mode
LINKUSDT,2020-03-06 00:00:00+00:00,2020-03-07 00:00:00+00:00,2020-03-12 00:00:00+00:00,4.42215692973873,2245.5258013237153,9939.997550714012,9.930067483230781,9939.997550714012,0.30757744358288214,0.05731135998817581,1.0,4.0,2020-03-07 17:00:00+00:00,2020-03-12 17:00:00+00:00,2020-03-12 17:00:00+00:00,2.5277355,5.676095284171902,0.0,-4269.578361826282,-0.4295351523018825,5,120.0,scheduled,full
BCHUSDT,2020-04-04 00:00:00+00:00,2020-04-05 00:00:00+00:00,2020-04-10 00:00:00+00:00,224.86479767718723,42.26333457492166,9513.039714531384,9.50353617835303,9513.039714531382,1.121358416384052,0.05773727119559895,1.0,3.0,2020-04-05 17:00:00+00:00,2020-04-10 17:00:00+00:00,2020-04-10 17:00:00+00:00,232.62363000000002,9.831450304722784,0.0,308.5791398866786,0.032437490975183995,5,120.0,scheduled,full
BNBUSDT,2020-04-06 00:00:00+00:00,2020-04-07 00:00:00+00:00,2020-04-12 00:00:00+00:00,14.28771586536571,674.9534289827578,9653.186358475597,9.643542815659938,9653.186358475596,1.440863974160442,0.06117134396207395,1.0,10.0,2020-04-07 20:00:00+00:00,2020-04-12 20:00:00+00:00,2020-04-12 20:00:00+00:00,14.7216355,9.936418360959296,0.0,273.29558412273946,0.028311437692569063,5,120.0,scheduled,full
EOSUSDT,2020-04-06 00:00:00+00:00,2020-04-07 00:00:00+00:00,2020-04-12 00:00:00+00:00,2.611667099450728,3692.4854694107516,9653.186358475597,9.643542815659938,9653.186358475596,1.3690090765339311,0.055241926877368404,1.0,7.0,2020-04-07 20:00:00+00:00,2020-04-12 20:00:00+00:00,2020-04-12 20:00:00+00:00,2.5747120000000003,9.507086647917497,0.0,-155.6067972060191,-0.016119734088568045,5,120.0,scheduled,full
VETUSDT,2020-04-08 00:00:00+00:00,2020-04-09 00:00:00+00:00,2020-04-14 00:00:00+00:00,0.003767337520406024,2597645.634762614,9795.994072424679,9.78620786456012,9795.994072424679,1.273855525501474,0.055415681687572146,1.0,19.0,2020-04-09 12:00:00+00:00,2020-04-14 12:00:00+00:00,2020-04-14 12:00:00+00:00,0.0036911535,9.588308776513745,0.0,-217.27360468744882,-0.0221798424009938,5,120.0,scheduled,full
XLMUSDT,2020-04-08 00:00:00+00:00,2020-04-09 00:00:00+00:00,2020-04-14 00:00:00+00:00,0.04876442160167482,200683.35772537926,9795.994072424679,9.78620786456012,9795.994072424679,0.970114484929526,0.04990973951379991,1.0,15.0,2020-04-09 11:00:00+00:00,2020-04-14 11:00:00+00:00,2020-04-14 11:00:00+00:00,0.047766105,9.585862336863027,0.0,-219.7175978985142,-0.02242933144651549,5,120.0,scheduled,full
XMRUSDT,2020-04-07 00:00:00+00:00,2020-04-10 00:00:00+00:00,2020-04-15 00:00:00+00:00,52.713065867607014,183.14940531143446,9664.021032460494,9.6543666657947,9664.021032460492,1.529901312576411,0.06030974936624086,1.0,13.0,2020-04-10 15:00:00+00:00,2020-04-15 15:00:00+00:00,2020-04-15 15:00:00+00:00,53.723125,9.839358395221858,0.0,165.49800436614169,0.01712517013469344,5,120.0,scheduled,full
LINKUSDT,2020-04-08 00:00:00+00:00,2020-04-10 00:00:00+00:00,2020-04-15 00:00:00+00:00,2.9589106702320187,3307.3684728010894,9795.994072424679,9.78620786456012,9795.994072424679,1.1212503418811761,0.06922581176855484,1.0,4.0,2020-04-10 07:00:00+00:00,2020-04-15 07:00:00+00:00,2020-04-15 07:00:00+00:00,3.2613685,10.786547355086581,0.0,979.7667353068155,0.10001708127456085,5,120.0,scheduled,full
XRPUSDT,2020-04-08 00:00:00+00:00,2020-04-10 00:00:00+00:00,2020-04-15 00:00:00+00:00,0.19280127178033135,50758.00472784258,9795.994072424679,9.78620786456012,9795.994072424679,0.9845715920232386,0.046112546793089355,1.0,7.0,2020-04-10 04:00:00+00:00,2020-04-15 04:00:00+00:00,2020-04-15 04:00:00+00:00,0.18770610000000001,9.527587111244893,0.0,-277.9345482910303,-0.028372265870740432,5,120.0,scheduled,full
BNBUSDT,2020-04-13 00:00:00+00:00,2020-04-16 00:00:00+00:00,2020-04-21 00:00:00+00:00,14.270236746296217,672.7125603311083,9609.367265630124,9.599767498131992,9609.367265630124,0.8519893200040143,0.0498741792608113,1.0,9.0,2020-04-16 00:00:00+00:00,2020-04-21 00:00:00+00:00,2020-04-21 00:00:00+00:00,14.916538000000001,10.03454246925627,0.0,415.1406611568891,0.04320166455097673,5,120.0,scheduled,full
