date,equity,cash,reserved,invested,open_positions,open_orders,mode,daily_return,peak,drawdown
2020-01-01 00:00:00+00:00,100000.0,100000.0,100000.0,0.0,0,50,passive_limit,0.0,100000.0,0.0
2020-01-02 00:00:00+00:00,99361.76274268395,24000.0,24000.0,75361.76274268395,38,12,passive_limit,-0.006382372573160544,100000.0,-0.006382372573160544
2020-01-03 00:00:00+00:00,103452.54784497587,16000.0,16000.0,87452.54784497587,42,8,passive_limit,0.04117061724121962,103452.54784497587,0.0
2020-01-04 00:00:00+00:00,104280.09872926155,16000.0,15999.999999999998,88280.09872926155,42,9,passive_limit,0.00799932820915883,104280.09872926155,0.0
2020-01-05 00:00:00+00:00,104506.25563114298,14222.222222222223,14222.22222222222,90284.03340892076,43,8,passive_limit,0.0021687446083897832,104506.25563114298,0.0
2020-01-06 00:00:00+00:00,108851.1491026958,14222.222222222223,14222.22222222222,94628.92688047358,43,8,passive_limit,0.04157543914775985,108851.1491026958,0.0
2020-01-07 00:00:00+00:00,108648.3682766062,94160.57286333345,94160.5728633335,14487.795413272743,7,43,passive_limit,-0.0018629185613675547,108851.1491026958,-0.0018629185613675547
2020-01-08 00:00:00+00:00,108906.39726740742,50689.3640477361,50689.3640477361,58217.03321967132,27,24,passive_limit,0.002374899824949983,108906.39726740742,0.0
2020-01-09 00:00:00+00:00,108137.88258028761,32473.636605035616,32473.636605035616,75664.245975252,36,15,passive_limit,-0.007056653294964965,108906.39726740742,-0.007056653294964965
2020-01-10 00:00:00+00:00,111093.1988485081,27696.831174352075,27696.83117435206,83396.36767415602,38,13,passive_limit,0.02732914865450864,111093.1988485081,0.0
2020-01-11 00:00:00+00:00,111189.70412269988,27696.831174352075,27696.831174352075,83492.87294834781,38,14,passive_limit,0.0008686875091552526,111189.70412269988,0.0
2020-01-12 00:00:00+00:00,113278.49978533703,31089.046170318612,31089.046170318616,82189.45361501841,36,16,passive_limit,0.018785873018711596,113278.49978533703,0.0
2020-01-13 00:00:00+00:00,113240.0537727201,78152.48776495017,78152.4877649502,35087.566007769936,17,34,passive_limit,-0.0003393937304059236,113278.49978533703,-0.0003393937304059236
2020-01-14 00:00:00+00:00,113494.12634405136,90047.00745186482,90047.00745186476,23447.11889218654,11,39,passive_limit,0.002243663464176704,113494.12634405136,0.0
2020-01-15 00:00:00+00:00,114292.35382812453,90440.15341178537,90440.15341178537,23852.200416339158,11,39,passive_limit,0.007033205239656004,114292.35382812453,0.0
