label,kind,span,confirm_days,provenance,days_in_market,total_return,cagr,max_drawdown,sharpe_zero_cash,trades,profit_factor,oos_total_return,oos_cagr,oos_max_drawdown
none,sma,0,1,"the frozen baseline, always in the market",1.0,3.3197235520233406,0.25270853621984846,-0.7860777401562228,0.68782662213421,3177,1.0348538613696219,-0.48285607940734154,-0.2323250714049978,-0.7294414051753704
C > SMA(50),sma,50,1,"the author's published rule, verbatim",0.5217038539553752,19.783664547427374,0.5955414714845435,-0.5171233998175354,1.2806249635614226,2127,1.150123633054045,-0.048116478733654766,-0.019576886452870368,-0.5171233998175352
"C > SMA(50), 3d",sma,50,3,the same rule with a confirmation window,0.4778904665314402,15.707110438060624,0.5427914227676573,-0.5227660153335603,1.2247465505541637,1964,1.1374306248801715,-0.12664508439221522,-0.05284417134527397,-0.5227660153335606
C > EMA(120),ema,120,1,"longer average, no confirmation",0.5837728194726166,13.186218278762315,0.5044196906394742,-0.545749126971337,1.1680366616068516,2128,1.1438030707811382,-0.07690309804897255,-0.031573886389055894,-0.5457491269711123
"C > EMA(120), 3d",ema,120,3,longer average with a confirmation window,0.5545638945233266,14.601850113584916,0.5266166849796114,-0.519483232534959,1.20727780705697,2046,1.1469436637407975,-0.15426546316447132,-0.0649695960903327,-0.5194832325347221
