start,end,initial_equity,final_equity,total_return,cagr,annualized_volatility,sharpe_zero_cash,max_drawdown,max_drawdown_days,daily_es_90,daily_es_95,daily_es_99,trades,hit_rate,mean_trade_return,median_trade_return,trade_es_95,profit_factor,total_fees,average_invested_fraction,average_reserved_fraction,orders,fills,fill_rate,forced_exits,delayed_exit_days,mode,execution,funding_charged,holding_days,window
2020-01-01,2026-06-30,100000.0,162206.34964716368,0.6220634964716367,0.07732585745862197,0.2635398441929091,0.418179564901255,-0.6430540694651998,898,-0.02282169222695831,-0.03487074164853438,-0.07379394785141141,4451,0.5194338350932375,0.001757229505924255,0.0013347950289621037,-0.19019671356895976,1.0265634483200872,208260.67295515543,0.16507198378160026,0.6744600052108564,9279,4451,0.4796853109171247,2,0,full,daily,False,1,full
2024-01-01,2026-06-30,100000.0,63474.47837526484,-0.3652552162473516,-0.16659620599813973,0.2753851116092923,-0.5224063409093147,-0.6430540694651978,494,-0.027172592993895628,-0.038939694879142395,-0.07227768258047537,1807,0.4991698948533481,-0.001581761608572577,-7.084690265142135e-05,-0.2445971408944616,0.9298057064454186,40443.75892287466,0.17202410562411224,0.7403477860441612,3873,1807,0.46656338755486704,0,0,full,daily,False,1,clean-oos
2020-01-01,2026-06-30,100000.0,400331.2850305881,3.003312850305881,0.23812062084010543,0.34965956302136025,0.7893234443396185,-0.6696655808020451,777,-0.032928256583657195,-0.04842975967774939,-0.09261977492609004,4451,0.5176364861828803,0.005048645506543956,0.0024750292059017623,-0.23033331340489344,1.0434743874239483,432971.3567474085,0.16531114768888858,0.6739492985265934,9279,4451,0.4796853109171247,2,0,full,hourly,False,1,full
2024-01-01,2026-06-30,100000.0,79490.14379724575,-0.2050985620275425,-0.08792132597092317,0.3626754964852835,-0.07184644262895237,-0.6696655808020464,398,-0.036317947727868435,-0.04950790591581816,-0.07923868424549038,1807,0.4975096845600443,0.0018373128735893252,-0.00030998085941572783,-0.2982474882445181,0.9776801608717074,51595.537868193176,0.17229795948636495,0.7398480284182075,3873,1807,0.46656338755486704,0,0,full,hourly,False,1,clean-oos
2020-01-01,2026-06-30,100000.0,599052.3035116935,4.990523035116935,0.3173983500232824,0.35040210133213356,0.9653457130297036,-0.5447686645879305,776,-0.03253292938502543,-0.04806730033439236,-0.09266365368916456,4451,0.5185351606380588,0.005985858409274554,0.0023237599424122783,-0.225515502070149,1.068292894775027,451884.9166848145,0.16528615660481016,0.6739419498220458,9279,4451,0.4796853109171247,2,0,full,hourly,True,1,full
2024-01-01,2026-06-30,100000.0,115729.62191822831,0.1572962191822831,0.060320138687488534,0.364069634451575,0.34250511762625374,-0.5447686645879299,245,-0.03556771058144388,-0.048758457930579875,-0.07894378642454877,1807,0.4991698948533481,0.004032655652397051,-0.00010474681638922256,-0.2892132324115729,1.0158704556279483,55026.78141560235,0.17223977104144234,0.7398233329438413,3873,1807,0.46656338755486704,0,0,full,hourly,True,1,clean-oos
2020-01-01,2026-06-30,100000.0,532274.3656789592,4.322743656789592,0.29363942299593715,0.4661177567663063,0.7897178241189481,-0.7894775775960202,918,-0.042897576997118804,-0.059494899267346385,-0.11087202599443176,3562,0.48483997754070746,0.006715789754243685,-0.003631347708416446,-0.31326772754504617,1.03029020347085,631569.88155122,0.36662318341069006,0.49068482911784156,7355,3562,0.48429639700883753,2,0,full,daily,False,3,full
2024-01-01,2026-06-30,100000.0,46003.79333437853,-0.5399620666562146,-0.2675080937232116,0.4542478358247373,-0.45644782490590485,-0.7894775775960177,754,-0.0450983446183832,-0.058527151809742696,-0.08894381377417959,1440,0.4513888888888889,-0.0049323296051579915,-0.009148046348485778,-0.40476978489743526,0.9261561227894733,29513.357628437698,0.3790122599822637,0.5492459278137538,3102,1440,0.46421663442940037,0,0,full,daily,False,3,clean-oos
2020-01-01,2026-06-30,100000.0,785339.9542561908,6.853399542561908,0.37348697615010606,0.5260485674903426,0.8694212209314539,-0.7781943529694356,1678,-0.04730048131648023,-0.06463196757628423,-0.12077503280974396,3562,0.4781021897810219,0.00887194776590731,-0.004684817512160712,-0.3233582241438625,1.0456885902431827,598377.7726575304,0.36693850109685927,0.49047518488454145,7355,3562,0.48429639700883753,2,0,full,hourly,False,3,full
2024-01-01,2026-06-30,100000.0,86163.72728657862,-0.13836272713421383,-0.05795977804344121,0.5189412184763009,0.14077547616081046,-0.674477900420195,401,-0.047642453050406014,-0.05967085051136268,-0.08663741774030478,1440,0.44930555555555557,0.0007758836167871727,-0.00931196915734132,-0.41588938644887247,0.985728923592847,35901.013553796365,0.37908993185422374,0.5490993391864533,3102,1440,0.46421663442940037,0,0,full,hourly,False,3,clean-oos
