start,end,initial_equity,final_equity,total_return,cagr,annualized_volatility,sharpe_zero_cash,max_drawdown,max_drawdown_days,daily_es_90,daily_es_95,daily_es_99,trades,hit_rate,mean_trade_return,median_trade_return,trade_es_95,profit_factor,total_fees,average_invested_fraction,average_reserved_fraction,orders,fills,fill_rate,forced_exits,delayed_exit_days,correction_sigma,holding_days
2024-01-01,2026-06-30,100000.0,95325.71022277982,-0.046742897772201863,-0.019009905811028127,0.2659730158917751,0.06142115075800007,-0.45975570183573655,521,-0.025883392936436152,-0.036261770704188206,-0.05946583051979861,2912,0.45947802197802196,-1.979949814313097e-05,-0.0024668692248854393,-0.13623384449071263,0.992695508174287,67270.62944242757,0.2741572506363645,0.6026396102344156,4038,2912,0.7211490837048044,0,0,0.5,1
2024-01-01,2026-06-30,100000.0,26569.83221121637,-0.7343016778878363,-0.4122150578774859,0.437342959572513,-0.9924987672776013,-0.8170031580502406,832,-0.04431013073066672,-0.05595859346709725,-0.08007761717690544,2013,0.42871336313959263,-0.005497545016354568,-0.011595665218133605,-0.23496870530349964,0.8406618978698959,22666.999464166514,0.5131577688734286,0.385023932141031,2828,2013,0.7118104667609618,0,0,0.5,3
2024-01-01,2026-06-30,100000.0,26063.385460945363,-0.7393661453905463,-0.41673292186595623,0.5463182515774048,-0.709656558882747,-0.8614122696223194,824,-0.053610599104376606,-0.06823064213762729,-0.10411008517174332,1626,0.43911439114391143,-0.006447407693890726,-0.01177047474943162,-0.3053734829163858,0.8472814022534529,16690.485850070218,0.6283253164669519,0.2809478962648519,2258,1626,0.7201062887511072,1,0,0.5,5
2024-01-01,2026-06-30,100000.0,32008.33896996135,-0.6799166103003864,-0.3666501887570838,0.6463047868526098,-0.38218038012480293,-0.8164954846119377,843,-0.06080054962258117,-0.07644117713986436,-0.1126328496120061,1162,0.40619621342512907,-0.005000707783161317,-0.02900432382051287,-0.39575074902601304,0.8396111293475765,10191.579976089524,0.7787029755922031,0.16314902847821897,1577,1162,0.7368421052631579,2,0,0.5,10
