symbol,signal_date,entry_date,target_exit_date,entry_price,quantity,entry_cost,entry_fee,reserved,momentum,sigma,correction_sigma,volume_rank,exit_date,exit_price,exit_fee,pnl,return_on_reserved,holding_days_actual,exit_reason,mode
DOGEUSDT,2020-01-06 00:00:00+00:00,2020-01-07 00:00:00+00:00,2020-01-12 00:00:00+00:00,0.0021032623477016373,609904.7960296201,1284.0725829649189,1.2827897931717471,1284.0725829649186,1.1640485773602425,0.014695938535410912,1.0,47.0,2020-01-12 00:00:00+00:00,0.00216601645,1.321063821134052,35.670174347999136,0.02777893930702643,5,scheduled,full
ZECUSDT,2020-01-06 00:00:00+00:00,2020-01-07 00:00:00+00:00,2020-01-12 00:00:00+00:00,31.81709775809461,40.76012597368964,1298.1657816498719,1.2968689127371347,1298.1657816498714,1.1768244656529392,0.03225230196432819,1.0,24.0,2020-01-12 00:00:00+00:00,34.852565,1.4205949399062066,121.00856331642854,0.09321503079724973,5,scheduled,full
BNBUSDT,2020-01-06 00:00:00+00:00,2020-01-08 00:00:00+00:00,2020-01-13 00:00:00+00:00,14.43924020830021,92.9884345168284,1344.0250249248622,1.34268234258228,1344.025024924862,1.2183971832712925,0.03456778616042041,1.0,4.0,2020-01-13 00:00:00+00:00,15.3293315,1.425450538374505,80.00006291126829,0.05952274803494876,5,scheduled,full
BTCUSDT,2020-01-07 00:00:00+00:00,2020-01-08 00:00:00+00:00,2020-01-13 00:00:00+00:00,7936.804409329552,1.3189136303719653,10478.427476578123,10.467959517061061,10478.427476578121,0.9711333337097586,0.025927891473010025,1.0,1.0,2020-01-13 00:00:00+00:00,8180.877515000001,10.789870862937034,300.6535154959747,0.02869261787305488,5,scheduled,full
EOSUSDT,2020-01-07 00:00:00+00:00,2020-01-08 00:00:00+00:00,2020-01-13 00:00:00+00:00,2.764271785751464,3786.877821138474,10478.427476578123,10.467959517061061,10478.427476578121,1.1205643175020885,0.02910213035436367,1.0,8.0,2020-01-13 00:00:00+00:00,3.2069957000000002,12.144500888816456,1653.928911349516,0.1578413282953436,5,scheduled,full
RVNUSDT,2020-01-07 00:00:00+00:00,2020-01-08 00:00:00+00:00,2020-01-13 00:00:00+00:00,0.02409258526226581,434488.8438957253,10478.427476578123,10.467959517061061,10478.427476578121,0.8200972983617413,0.025303892308787795,1.0,35.0,2020-01-13 00:00:00+00:00,0.023978005000000004,10.418175671375922,-70.6699808735757,-0.006744330772106844,5,scheduled,full
IOTAUSDT,2020-01-06 00:00:00+00:00,2020-01-09 00:00:00+00:00,2020-01-14 00:00:00+00:00,0.17743775660226208,7935.607441879207,1409.4844581450257,1.4080763817632624,1409.4844581450254,1.2777380345016789,0.028678087772967154,1.0,34.0,2020-01-14 00:00:00+00:00,0.1885057,1.4959072357566492,84.92687037586688,0.06025385373006258,5,scheduled,full
ETHUSDT,2020-01-08 00:00:00+00:00,2020-01-09 00:00:00+00:00,2020-01-14 00:00:00+00:00,136.91377841153084,58.2437056031467,7982.340168618481,7.974365802815665,7982.34016861848,0.7662194284807247,0.027420727388313297,1.0,2.0,2020-01-14 00:00:00+00:00,143.50821000000002,8.358449934874555,367.75131632119883,0.04607061445050472,5,scheduled,full
LINKUSDT,2020-01-08 00:00:00+00:00,2020-01-09 00:00:00+00:00,2020-01-14 00:00:00+00:00,2.1057822140371734,4975.031395018799,10486.808958533042,10.476332625907135,10486.80895853304,1.1107222566345947,0.03884918406134037,1.0,10.0,2020-01-14 00:00:00+00:00,2.1893048,10.891860113265354,394.1592946190467,0.03758619959395009,5,scheduled,full
LTCUSDT,2020-01-08 00:00:00+00:00,2020-01-09 00:00:00+00:00,2020-01-14 00:00:00+00:00,43.95886551662825,228.23384229020536,10042.933680358057,10.032900779578478,10042.933680358055,0.9640144045835088,0.031155854532797494,1.0,9.0,2020-01-14 00:00:00+00:00,49.565205000000006,11.3124571810517,1258.2110435125905,0.1252832173902927,5,scheduled,full
XMRUSDT,2020-01-08 00:00:00+00:00,2020-01-09 00:00:00+00:00,2020-01-14 00:00:00+00:00,57.08076654658195,183.53524768027955,10486.80895853304,10.476332625907133,10486.80895853304,1.2438604717124337,0.04050017855358555,1.0,22.0,2020-01-14 00:00:00+00:00,57.761105,10.601198712461633,103.7885552161315,0.009897057877809388,5,scheduled,full
DASHUSDT,2020-01-08 00:00:00+00:00,2020-01-10 00:00:00+00:00,2020-01-15 00:00:00+00:00,49.81713358406539,186.82779053323026,9316.532223207929,9.307224998209719,9316.532223207927,0.8942876205091757,0.05092922516275225,1.0,21.0,2020-01-15 00:00:00+00:00,89.23536,16.671645146237395,7338.441277883228,0.7876794822437065,5,scheduled,full
NEOUSDT,2020-01-09 00:00:00+00:00,2020-01-10 00:00:00+00:00,2020-01-15 00:00:00+00:00,9.080620949881821,807.1204017781529,7336.483583893191,7.329154429463728,7336.48358389319,0.5892686536641825,0.0331831765290451,1.0,28.0,2020-01-15 00:00:00+00:00,11.1973985,9.037648776190087,1692.1275435207053,0.2306455843826421,5,scheduled,full
RENUSDT,2020-01-12 00:00:00+00:00,2020-01-13 00:00:00+00:00,2020-01-18 00:00:00+00:00,0.04234107040678273,34418.58674888806,1458.777124641465,1.4573198048366285,1458.7771246414648,1.3288685288989874,0.05018097980189165,1.0,50.0,2020-01-18 00:00:00+00:00,0.044977500000000004,1.5480619854981128,87.73679887114963,0.06014407368275219,5,scheduled,full
