symbol,signal_date,entry_date,target_exit_date,entry_price,quantity,entry_cost,entry_fee,reserved,momentum,sigma,correction_sigma,volume_rank,entry_time,target_exit_time,exit_date,exit_price,exit_fee,funding_cost,pnl,return_on_reserved,holding_days_actual,holding_hours_actual,exit_reason,mode
ETHUSDT,2020-01-30 00:00:00+00:00,2020-01-31 00:00:00+00:00,2020-02-05 00:00:00+00:00,177.70496680206432,56.21683045661468,10000.0,9.990009990009991,10000.0,1.3407305594643162,0.04098761037911605,1.0,3.0,2020-01-31 12:00:00+00:00,2020-02-05 12:00:00+00:00,2020-02-05 12:00:00+00:00,197.80105,11.119748091990363,50.855475196338446,1057.7728687020335,0.10577728687020335,5,120.0,scheduled,full
XRPUSDT,2020-02-13 00:00:00+00:00,2020-02-14 00:00:00+00:00,2020-02-19 00:00:00+00:00,0.3175210100367005,31795.31837624866,10105.777286870205,10.09568160526494,10105.777286870203,2.7714627283781867,0.031249362491588474,1.0,5.0,2020-02-14 05:00:00+00:00,2020-02-19 05:00:00+00:00,2020-02-19 05:00:00+00:00,0.295852,9.406708532249919,92.09253945566743,-800.5680026082027,-0.07921884481348407,5,120.0,scheduled,full
ETHUSDT,2020-02-14 00:00:00+00:00,2020-02-15 00:00:00+00:00,2020-02-20 00:00:00+00:00,275.25713825283367,36.889158342218934,10164.158161992666,10.15400415783483,10164.158161992664,3.556063792542283,0.03618599606928501,1.0,2.0,2020-02-15 15:00:00+00:00,2020-02-20 15:00:00+00:00,2020-02-20 15:00:00+00:00,257.341265,9.493102672571924,93.55368190770237,-774.1022740010158,-0.07615999885712665,5,120.0,scheduled,full
LINKUSDT,2020-02-15 00:00:00+00:00,2020-02-16 00:00:00+00:00,2020-02-21 00:00:00+00:00,4.090600530110077,2450.5749692090394,10034.347591389103,10.024323268120984,10034.347591389102,2.0581713865203026,0.05641375339000544,1.0,8.0,2020-02-16 16:00:00+00:00,2020-02-21 16:00:00+00:00,2020-02-21 16:00:00+00:00,4.4147915,10.818777544176829,64.39800344989058,709.2131717936572,0.07067855337224545,5,120.0,scheduled,full
LTCUSDT,2020-02-18 00:00:00+00:00,2020-02-19 00:00:00+00:00,2020-02-24 00:00:00+00:00,74.02418136896448,137.4927910040821,10187.969089509512,10.177791298211302,10187.969089509512,1.2916275480906925,0.044465758201326984,1.0,6.0,2020-02-19 21:00:00+00:00,2020-02-24 21:00:00+00:00,2020-02-24 21:00:00+00:00,74.32282000000001,10.218851957094016,24.81695634580584,-4.152940718395257,-0.0004076318530129341,5,120.0,scheduled,full
XRPUSDT,2020-02-19 00:00:00+00:00,2020-02-20 00:00:00+00:00,2020-02-25 00:00:00+00:00,0.2622939817132958,38031.35464862141,9985.37083617811,9.975395440737373,9985.37083617811,0.5702078684612,0.04584955101212122,1.0,5.0,2020-02-20 16:00:00+00:00,2020-02-25 16:00:00+00:00,2020-02-25 16:00:00+00:00,0.25817085,9.818587156286041,45.616172965909556,-222.21844001426325,-0.022254400328242302,5,120.0,scheduled,full
LINKUSDT,2020-02-21 00:00:00+00:00,2020-02-24 00:00:00+00:00,2020-02-29 00:00:00+00:00,4.027316568401128,2493.980467119955,10054.09290535748,10.044048856500979,10054.092905357478,1.5309343551021506,0.05968381213628613,1.0,8.0,2020-02-24 15:00:00+00:00,2020-02-29 15:00:00+00:00,2020-02-29 15:00:00+00:00,4.169914,10.39968406557004,-16.57885940528677,351.77033555227536,0.034987774517662266,5,120.0,scheduled,full
ETHUSDT,2020-02-23 00:00:00+00:00,2020-02-24 00:00:00+00:00,2020-02-29 00:00:00+00:00,261.3067708208212,38.899906446479385,10174.973747700336,10.164808938761574,10174.973747700335,1.6541983901386534,0.04987529284094548,1.0,2.0,2020-02-24 18:00:00+00:00,2020-02-29 18:00:00+00:00,2020-02-29 18:00:00+00:00,225.40724000000003,8.768320548359126,53.374439668447685,-1468.795959558016,-0.14435378370287996,5,120.0,scheduled,full
LTCUSDT,2020-02-24 00:00:00+00:00,2020-02-25 00:00:00+00:00,2020-03-01 00:00:00+00:00,72.22291006464216,138.8591450378507,10038.840355265516,10.028811543721796,10038.840355265515,0.5043788940155876,0.046227934310177514,1.0,5.0,2020-02-25 14:00:00+00:00,2020-03-01 14:00:00+00:00,2020-03-01 14:00:00+00:00,59.17040000000001,8.216351155547644,16.312080426273788,-1847.0176312996946,-0.18398715050099462,5,120.0,scheduled,full
LINKUSDT,2020-02-29 00:00:00+00:00,2020-03-01 00:00:00+00:00,2020-03-06 00:00:00+00:00,3.7915506637020586,2552.617562305172,9688.057191348242,9.678378812535707,9688.057191348242,0.4795683358933723,0.06890038164576842,1.0,7.0,2020-03-01 16:00:00+00:00,2020-03-06 16:00:00+00:00,2020-03-06 16:00:00+00:00,4.5737119999999996,11.674937576125913,-118.08552777670212,2093.2909749782466,0.21606922147895918,5,120.0,scheduled,full
