date,equity,cash,reserved,invested,open_positions,open_orders,mode,daily_return,peak,drawdown
2020-01-01 00:00:00+00:00,100000.0,100000.0,100000.00000000003,0.0,0,11,full,0.0,100000.0,0.0
2020-01-02 00:00:00+00:00,98414.98970163935,9999.999999999976,10000.000000000007,88414.98970163938,10,1,full,-0.01585010298360645,100000.0,-0.01585010298360645
2020-01-03 00:00:00+00:00,101659.8385044868,9999.999999999976,9999.999999999973,91659.83850448683,10,5,full,0.032971083090947095,101659.8385044868,0.0
2020-01-04 00:00:00+00:00,103157.88847600647,9999.999999999976,8533.873227503167,93157.8884760065,10,4,full,0.014735907449366481,103157.88847600647,0.0
2020-01-05 00:00:00+00:00,102188.08199220106,9999.999999999976,9999.999999999969,92188.08199220109,10,6,full,-0.009401185872769946,103157.88847600647,-0.009401185872769946
2020-01-06 00:00:00+00:00,104735.51670589854,9999.999999999976,9999.99999999997,94735.51670589857,10,8,full,0.024928882742822234,104735.51670589854,0.0
2020-01-07 00:00:00+00:00,104784.2747657812,100319.12696252615,47572.510796450195,4465.147803255047,3,9,full,0.0004655351061051416,104784.2747657812,0.0
2020-01-08 00:00:00+00:00,104868.0895853304,67539.8195078669,67539.8195078669,37328.27007746351,7,8,full,0.0007998797504353838,104868.0895853304,0.0
2020-01-09 00:00:00+00:00,104958.00395484714,27131.44328367924,27131.44328367924,77826.5606711679,12,3,full,0.0008574044771130218,104958.00395484714,0.0
2020-01-10 00:00:00+00:00,110712.92122984162,10478.427476578123,10478.427476578123,100234.4937532635,14,1,full,0.05483066615358134,110712.92122984162,0.0
2020-01-11 00:00:00+00:00,111591.34396366862,10478.427476578123,10478.427476578123,101112.9164870905,14,1,full,0.007934238606200017,111591.34396366862,0.0
2020-01-12 00:00:00+00:00,114427.00875977316,15177.374647826578,15177.374647826578,99249.63411194658,11,4,full,0.02541115372736935,114427.00875977316,0.0
2020-01-13 00:00:00+00:00,113758.39668896791,48461.81748672752,37367.68905329736,65296.5792022404,8,5,full,-0.005843131600240636,114427.00875977316,-0.005843131600240636
2020-01-14 00:00:00+00:00,118310.90375436048,91079.03079096001,91079.03079096001,27231.872963400478,3,10,full,0.04001908604460902,118310.90375436048,0.0
2020-01-15 00:00:00+00:00,118853.17747276276,106007.8483859049,102394.2562854775,12845.329086857859,2,9,full,0.004583463579385327,118853.17747276276,0.0
2020-01-16 00:00:00+00:00,119707.05150132685,58466.577396799796,58466.577396799796,61240.47410452705,6,8,full,0.007184275984205568,119707.05150132685,0.0
2020-01-17 00:00:00+00:00,124021.43996057441,52990.237214186345,52990.23721418635,71031.20274638807,7,6,full,0.03604122234352869,124021.43996057441,0.0
2020-01-18 00:00:00+00:00,118882.59594995785,45232.337925418986,45232.33792541898,73650.25802453887,7,8,full,-0.041435126154398594,124021.43996057441,-0.041435126154398594
2020-01-19 00:00:00+00:00,118859.34625455634,5178.507349783679,5178.507349783679,113680.83890477265,14,3,full,-0.00019556853730962054,124021.43996057441,-0.04162259128469292
2020-01-20 00:00:00+00:00,120812.32007344314,16296.469869670756,14319.0225916382,104515.85020377238,13,2,full,0.016430965510311646,124021.43996057441,-0.025875525136229816
2020-01-21 00:00:00+00:00,121749.44562104114,64290.88466066731,50843.85627795055,57458.560960373834,9,5,full,0.007756870715075248,124021.43996057441,-0.01831936752432095
2020-01-22 00:00:00+00:00,121676.89134786284,69579.43602789246,60766.49940112511,52097.45531997038,8,5,full,-0.0005959310353177427,124021.43996057441,-0.018904381479983523
2020-01-23 00:00:00+00:00,118233.04998027746,30828.287007783627,30828.287007783627,87404.76297249383,11,4,full,-0.028303166931999968,124021.43996057441,-0.04667249454720934
2020-01-24 00:00:00+00:00,118692.98802787867,52581.95458312481,52581.95458312481,66111.03344475386,6,6,full,0.003890097123248948,124021.43996057441,-0.04296395796073338
2020-01-25 00:00:00+00:00,117644.87219800556,52581.95458312481,52581.9545831248,65062.91761488075,6,7,full,-0.008830478087104354,124021.43996057441,-0.05141504375853012
2020-01-26 00:00:00+00:00,120818.30352020108,52581.95458312481,52581.95458312481,68236.34893707627,6,6,full,0.02697466759838374,124021.43996057441,-0.02582727987508926
2020-01-27 00:00:00+00:00,122628.70530627925,52581.95458312481,52581.95458312481,70046.75072315444,6,8,full,0.014984499312850064,124021.43996057441,-0.011229789419780145
2020-01-28 00:00:00+00:00,123074.79651116033,96296.92059668616,78117.78663895237,26777.87591447416,3,9,full,0.0036377388456227955,124021.43996057441,-0.007632901615357901
2020-01-29 00:00:00+00:00,123119.04148628692,117889.82729043471,109375.46371221215,5229.214195852218,1,10,full,0.00035949663441114943,124021.43996057441,-0.007276148983388353
2020-01-30 00:00:00+00:00,123749.24974646872,117889.82729043471,117889.82729043471,5859.422456034007,1,10,full,0.005118690436296092,124021.43996057441,-0.0021947029013066333
2020-01-31 00:00:00+00:00,123568.21628162707,86304.94619492452,86304.94619492452,37263.27008670255,4,9,full,-0.001462905554680427,124021.43996057441,-0.0036543978129218724
2020-02-01 00:00:00+00:00,124621.89206318931,86304.94619492452,86304.94619492452,38316.9458682648,4,8,full,0.008527077700634544,124621.89206318931,0.0
2020-02-02 00:00:00+00:00,124586.2071939708,92400.42517681848,92400.42517681849,32185.782017152327,3,10,full,-0.00028634510861402784,124621.89206318931,-0.00028634510861402784
2020-02-03 00:00:00+00:00,124971.87834269746,92400.42517681848,92400.42517681848,32571.45316587897,3,10,full,0.003095616741315421,124971.87834269746,0.0
2020-02-04 00:00:00+00:00,124868.87492067888,79611.65261072108,79611.65261072108,45257.22230995779,5,11,full,-0.0008242128019882999,124971.87834269746,-0.0008242128019882999
2020-02-05 00:00:00+00:00,124909.76564432765,105384.47104040453,104262.26854468146,19525.29460392312,3,11,full,0.00032746930469862434,124971.87834269746,-0.0004970134016828442
2020-02-06 00:00:00+00:00,125902.51520376201,105384.47104040453,105384.47104040453,20518.04416335749,3,11,full,0.007947733744542829,125902.51520376201,0.0
2020-02-07 00:00:00+00:00,126374.72486655759,92893.49447597176,92893.49447597176,33481.23039058583,4,9,full,0.0037505975319980234,126374.72486655759,0.0
